place_id,place_name,about,link
ChIJBzFesyFb0i0RhIzFAVTEb3c,BALI HELITOUR,All,https://lh5.googleusercontent.com/p/AF1QipOzy8d1CyDjeACfmJsZagMdg8W57EM6i3O_xa9y=w298-h298-k-no
ChIJBzFesyFb0i0RhIzFAVTEb3c,BALI HELITOUR,Helicopter,https://lh5.googleusercontent.com/p/AF1QipPDxs4_PyXAq1i4HKw-se4Fbl1iEpUeJaFIfVx6=w224-h336-k-no
ChIJBzFesyFb0i0RhIzFAVTEb3c,BALI HELITOUR,Videos,https://lh5.googleusercontent.com/p/AF1QipMhmWJUBvsEoMH1jufgMQcBN23ftox47dRl7d6C=w224-h398-k-no
ChIJBzFesyFb0i0RhIzFAVTEb3c,BALI HELITOUR,By owner,https://lh5.googleusercontent.com/p/AF1QipM14VvJJgFsOOMHVsvwaLEqNWm3i1kXpEp8PeBb=w529-h298-k-no
ChIJBzFesyFb0i0RhIzFAVTEb3c,BALI HELITOUR,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LnsoQiCkHvHeoGMqLyjT5A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=166.80405&pitch=0&thumbfov=100
ChIJ14CrqGJD0i0RiLYCqHQJ0XA,Bali hire driver,All,https://lh5.googleusercontent.com/p/AF1QipONAmwUms74UOiVNgjWqGkhUFO5XX_RJjIxXrY=w224-h298-k-no
ChIJ14CrqGJD0i0RiLYCqHQJ0XA,Bali hire driver,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oHcj3dCuwPlvHqto0yW1JQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=179.17226&pitch=0&thumbfov=100
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,All,https://lh5.googleusercontent.com/p/AF1QipM1Cbt4b8cpwOTywlzau--b3MGjXAT_x1BU4reE=w395-h298-k-no
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,Latest,https://lh5.googleusercontent.com/p/AF1QipNA7heABoQnacRSov7eTVbKMvMbMBSk4_PI4sg=w662-h298-k-no
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,Videos,https://lh5.googleusercontent.com/p/AF1QipNS15jHPXxEL8SA39e1cQrgdJSCvdntEN0-trPN=w529-h298-k-no
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,By owner,https://lh5.googleusercontent.com/p/AF1QipNw7PKZ-BNNVYhNSqBd3usXixABJ_0cSq8aWd0K=w417-h298-k-no
ChIJq95xT4I30i0RaU3j93Diq8o,Tanah Lot,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMEHjYbQb65j6NG-i01TLjOep5ArjM0K6-rwP17=w224-h298-k-no-pi-5.4019294-ya181.80064-ro-0-fo100
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,All,https://lh5.googleusercontent.com/p/AF1QipPpnUz7YPpiAd-wXAj0j_aFCwL5Cd7dOnRpaWvO=w397-h298-k-no
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Latest,https://lh5.googleusercontent.com/p/AF1QipMVwQhSN7lwBuHGq2ufRync5n_Evt3xyrN7usYv=w224-h298-k-no
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Videos,https://lh5.googleusercontent.com/p/AF1QipNTmMuDFiAy5dF9dsSXkjJJb9HhDQd5MSBxssNr=w529-h298-k-no
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Plaza Garuda - GWK Cultural Park,https://lh5.googleusercontent.com/p/AF1QipNoNTOF9wfu_X4CohgeN1mVlCrwox3BAd_ieBcT=w224-h298-k-no
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Plaza Wisnu,https://lh5.googleusercontent.com/p/AF1QipMHly2dIf_v_69oOcheBIwi6MldGbdoTOTD7op6=w224-h298-k-no
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,Patung Garuda Wisnu Kencana,https://lh5.googleusercontent.com/p/AF1QipO1CgV9Vt_JWe_3sEkanUIU_V5tondvk52rgE_c=w397-h298-k-no
